sheet_sub_id,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,date_time,rt,stimulus,response,experiment
44,,,,,,,,,,,,video-button-response,7,144641,0.0-7.0,5e9027110aacc7320bd9a84b,636e2a29b9410d781bec59f3,636e416f23b1f407cdc8db55,,23083,"[""""tsg_comb/TestSeq005_0-GDDW_000-GD_v13_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,14,331007,0.0-14.0,60cce9e5db3f76eabb186870,636e2a29b9410d781bec59f3,636e416e7a3f7d942d689ac9,,23457,"[""""tsg_comb/TestSeq006_6-GT-SG_000-B.mp4""""]",1,2
44,,,,,,,,,,,,video-button-response,11,336477,0.0-11.0,62da634e06750be929c61f75,636e2a29b9410d781bec59f3,636e41696c9c80c7fc78b253,,22890,"[""""tsg_comb/TestSeq003_2-GT-SG_000-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,12,322846,0.0-12.0,601492777b72a04ce67e2f6d,636e2a29b9410d781bec59f3,636e416ecf447e09e39a43ab,,21020,"[""""tsg_comb/TestSeq006_8-GD_v13_000-SG_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,13,255488,0.0-13.0,5fbf94f2891c55203896f7dc,636e2a29b9410d781bec59f3,636e4168ae435f0ae678b20f,,20786,"[""""tsg_comb/TestSeq002_5-GDDW_000-GT-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,12,335046,0.0-12.0,60ec003195a012028e8b2879,636e2a29b9410d781bec59f3,636e416d1b79dcbbb29a4373,,22325,"[""""tsg_comb/TestSeq003_0-GT-SG_000-B.mp4""""]",4,2
44,,,,,,,,,,,,video-button-response,13,343855,0.0-13.0,601492777b72a04ce67e2f6d,636e2a29b9410d781bec59f3,636e416ecf447e09e39a43ab,,20982,"[""""tsg_comb/TestSeq005_1-GDDW_000-GD_v13_000-B.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,15,306820,0.0-15.0,5a78b50d5292b80001228479,636e2a29b9410d781bec59f3,636e416def3330edad164076,,21367,"[""""tsg_comb/TestSeq006_5-GDDW_000-SG_000-A.mp4""""]",2,2
44,,,,,,,,,,,,video-button-response,16,343514,0.0-16.0,5ae5a3ff3ab2fb0001ef2b91,636e2a29b9410d781bec59f3,636e416818d8079635044436,,22925,"[""""tsg_comb/TestSeq006_0-GDDW_000-GT-B.mp4""""]",0,2
44,,,,,,,,,,,,video-button-response,15,342464,0.0-15.0,60e85190b9cffd8fed0a064f,636e2a29b9410d781bec59f3,636e41694e80a20e93ada151,,23333,"[""""tsg_comb/TestSeq002_3-GDDW_000-SG_000-B.mp4""""]",3,2
44,,,,,,,,,,,,video-button-response,10,265913,0.0-10.0,5bec91e66cb00e00015b8a7b,636e2a29b9410d781bec59f3,636e416cbea6fad1df74e5a3,,23525,"[""""tsg_comb/TestSeq004_6-GDDW_000-GD_v13_000-A.mp4""""]",3,2
